	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated	trans_seg	target_seg
675	675	675	675	en	zh	 A 30% difference between SARS-CoV-2 and SARS-CoV in the S1 unit of the S protein implicates that the binding affinity of its S protein with human ACE2 might have altered. 	SARS-CoV-2 和 SARS-CoV 在 S 蛋白 S1 单元的差异为 30%，这意味着其 S 蛋白与人 ACE2 的结合亲和力可能发生了改变。	PubMed_8:713	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	SARS-CoV-2 和 SARS-CoV 在 S 蛋白的 S1 单元中存在 30% 的差异，这意味着其 S 蛋白与人类 ACE2 的结合亲和力可能已经改变。	SARS - CoV - 2   和   SARS - CoV   在   S   蛋白 的   S1   单元 中 存在   30%   的 差异 ， 这 意味着 其   S   蛋白 与 人类   ACE2   的 结合 亲和力 可能 已经 改变 。	SARS - CoV - 2   和   SARS - CoV   在   S   蛋白   S1   单元 的 差异 为   30% ， 这 意味着 其   S   蛋白 与 人   ACE2   的 结合 亲和力 可能 发生 了 改变 。
676	676	676	676	en	zh	 Indeed, a cryo-EM study indicates a 10- to 20-fold higher affinity of this binding than that between human ACE2 and SARS-CoV S protein. 	的确，一项冷冻电镜研究表明，这种结合的亲和力比人 ACE2 和 SARS-CoV S 蛋白之间的亲和力高 10 至 20 倍。	PubMed_8:714	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	事实上，一项冷冻电镜研究表明，这种结合的亲和力比人ACE2和SARS-CoV S蛋白之间的亲和力高10至20倍。	事实上 ， 一项 冷冻电 镜 研究 表明 ， 这种 结合 的 亲和力 比人 ACE2 和 SARS - CoV   S 蛋白 之间 的 亲和力 高 10 至 20 倍 。	的确 ， 一项 冷冻电 镜 研究 表明 ， 这种 结合 的 亲和力 比 人   ACE2   和   SARS - CoV   S   蛋白 之间 的 亲和力 高   10   至   20   倍 。
677	677	677	677	en	zh	 It will also be of interest to determine whether any other coreceptor might be required for SARS-CoV-2 transmission. 	确定在 SARS-CoV-2 传播中是否需要任何其他共受体也将很有意义。	PubMed_8:715	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	确定SARS-CoV-2传播是否需要任何其他辅助受体也将是有意义的。	确定 SARS - CoV - 2 传播 是否 需要 任何 其他 辅助 受体 也 将 是 有 意义 的 。	确定 在   SARS - CoV - 2   传播 中 是否 需要 任何 其他 共 受体 也 将 很 有 意义 。
678	678	678	678	en	zh	 Intriguingly, HCoV-NL63 also binds to ACE2 but with a different part of S. 	有趣的是，HCoV-NL63 也与 ACE2 结合，但是与 S 的不同部分结合。	PubMed_8:716	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	有趣的是，HCoV-NL63也与ACE2结合，但与S部分不同。	有趣 的 是 ， HCoV - NL63 也 与 ACE2 结合 ， 但 与 S 部分 不同 。	有趣 的 是 ， HCoV - NL63   也 与   ACE2   结合 ， 但是 与   S   的 不同 部分 结合 。
679	679	679	679	en	zh	 There exist many other HCoV receptors, such as aminopeptidase N for HCoV-229E, and 9-O-acetylated sialic acid for HCoV-OC43. 	此外，还有许多其他 HCoV 受体，例如 HCoV-229E 的氨基肽酶 N 和 HCoV-OC43 的 9-O-乙酰化唾液酸。	PubMed_8:717	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	还有许多其他HCoV受体，例如用于HCoV-229E的氨基肽酶N和用于HCoV-OC43的9-O-乙酰化唾液酸。	还有 许多 其他 HCoV 受体 ， 例如 用于 HCoV - 229E 的 氨基 肽酶 N 和 用于 HCoV - OC43 的 9 - O - 乙酰化 唾液酸 。	此外 ， 还有 许多 其他   HCoV   受体 ， 例如   HCoV - 229E   的 氨基 肽酶   N   和   HCoV - OC43   的   9 - O - 乙酰化 唾液酸 。
680	680	680	680	en	zh	 They might also account for successful adaptation of these CoVs in humans after interspecies transmission from their animal hosts. 	它们也可能解释了上述冠状病毒在从动物宿主跨种传播后成功适应人类的原因。	PubMed_8:718	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	它们也可能解释这些CoV在动物宿主的物种间传播后在人类中成功适应的原因。	它们 也 可能 解释 这些 CoV 在 动物 宿主 的 物种 间 传播 后 在 人类 中 成功 适应 的 原因 。	它们 也 可能 解释 了 上述 冠状病毒 在 从 动物 宿主 跨种 传播 后 成功 适应 人类 的 原因 。
681	681	681	681	en	zh	 In addition to cellular receptors, the outcome of interspecies transmission of HCoVs is also governed by other host dependency and restriction factors. 	除细胞受体外，HCoV 种间传播的结果还受其他宿主依赖性和限制性因素的影响。	PubMed_8:719	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	除细胞受体外，HCoV的种间传播结果还受其他宿主依赖性和限制因素的支配。	除 细胞 受体 外 ， HCoV 的 种间 传播 结果 还 受 其他 宿主 依赖性 和 限制 因素 的 支配 。	除 细胞 受体 外 ， HCoV   种间 传播 的 结果 还 受 其他 宿主 依赖性 和 限制性 因素 的 影响 。
682	682	682	682	en	zh	 The divergence of these host proteins between humans and natural reservoir hosts of HCoVs such as bats, dromedary camels and rodents might constitute a barrier to interspecies transmission. 	这些宿主蛋白在人类与蝙蝠、单峰驼和啮齿动物等 HCoV 自然宿主之间的差异可能构成了种间传播的障碍。	PubMed_8:720	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	这些宿主蛋白在人类和HCoV的天然宿主（如蝙蝠，单峰骆驼和啮齿动物）之间的差异可能构成种间传播的障碍。	这些 宿主 蛋白 在 人类 和 HCoV 的 天然 宿主 （ 如 蝙蝠 ， 单峰骆驼 和 啮齿动物 ） 之间 的 差异 可能 构成 种间 传播 的 障碍 。	这些 宿主 蛋白 在 人类 与 蝙蝠 、 单峰驼 和 啮齿动物 等   HCoV   自然 宿主 之间 的 差异 可能 构成 了 种间 传播 的 障碍 。
683	683	683	683	en	zh	 HCoVs have to usurp host dependency factors and subvert host restriction factors for a successful interspecies transmission. 	HCoV 必须剥夺宿主依赖因素并打破宿主限制因素，才能成功实现种间传播。	PubMed_8:721	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	HCoV必须篡夺宿主依赖因素并颠覆宿主限制因素才能成功进行种间传播。	HCoV 必须 篡夺 宿主 依赖 因素 并 颠覆 宿主 限制 因素 才能 成功 进行 种间 传播 。	HCoV   必须 剥夺 宿主 依赖 因素 并 打破 宿主 限制 因素 ， 才能 成功 实现 种间 传播 。
684	684	684	684	en	zh	 In this regard, molecular determinants in this important area of virus-host interaction remain to be identified and characterized. 	在此方面，病毒-宿主相互作用这一重要领域中的分子决定因素仍有待确定和表征。	PubMed_8:722	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	在这方面，病毒-宿主相互作用这一重要领域的分子决定因素仍有待确定和表征。	在 这方面 ， 病毒 - 宿主 相互作用 这一 重要 领域 的 分子 决定 因素 仍 有待 确定 和 表征 。	在 此 方面 ， 病毒 - 宿主 相互作用 这一 重要 领域 中 的 分子 决定 因素 仍 有待 确定 和 表征 。
685	685	685	685	en	zh	 An unbiased genome-wide screening of host dependency and restriction factors for SARS-CoV-2 using the state-of-the-art technology of CRISPR might be fruitful. 	利用最新的 CRISPR 技术对 SARS-CoV-2 的宿主依赖性和限制性因素进行无偏倚的全基因组筛选可能会取得成果。	PubMed_8:723	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	使用最先进的CRISPR技术对SARS-CoV-2的宿主依赖性和限制因子进行无偏的全基因组筛选可能是富有成效的。	使用 最 先进 的 CRISPR 技术 对 SARS - CoV - 2 的 宿主 依赖性 和 限制 因子 进行 无偏 的 全 基因组 筛选 可能 是 富有成效 的 。	利用 最新 的   CRISPR   技术 对   SARS - CoV - 2   的 宿主 依赖性 和 限制性 因素 进行 无 偏倚 的 全 基因组 筛选 可能 会 取得 成果 。
686	686	686	686	en	zh	 Emergence of novel HCoVs: back to ground zero 	新型 HCoV 的出现：回到原点	PubMed_8:724	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	新型HCoV的出现：回到零点	新型 HCoV 的 出现 ： 回到 零点	新型   HCoV   的 出现 ： 回到 原点
687	687	687	687	en	zh	 The diversity of bat CoVs provides ample opportunities for the emergence of novel HCoVs. 	蝙蝠冠状病毒的多样性为新型 HCoV 的出现提供了充足的机会。	PubMed_8:725	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	蝙蝠冠状病毒的多样性为新型HCoV的出现提供了充足的机会。	蝙蝠 冠状病毒 的 多样性 为 新型 HCoV 的 出现 提供 了 充足 的 机会 。	蝙蝠 冠状病毒 的 多样性 为 新型   HCoV   的 出现 提供 了 充足 的 机会 。
688	688	688	688	en	zh	 In this sense, bat CoVs serve as the gene pool of HCoVs. 	从这个意义上说，蝙蝠冠状病毒充当了 HCoV 的基因库。	PubMed_8:726	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	从这个意义上说，蝙蝠冠状病毒是HCoV的基因库。	从 这个 意义 上 说 ， 蝙蝠 冠状病毒 是 HCoV 的 基因库 。	从 这个 意义 上 说 ， 蝙蝠 冠状病毒 充当 了   HCoV   的 基因库 。
689	689	689	689	en	zh	 In addition, rapid mutation and genetic recombination also drive HCoV evolution and serve as two important steps in this process. 	此外，快速突变和基因重组也是 HCoV 进化的驱动因素，也是此过程的两个重要步骤。	PubMed_8:727	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	此外，快速突变和基因重组也推动了HCoV的进化，并作为这一过程中的两个重要步骤。	此外 ， 快速 突变 和 基因 重组 也 推动 了 HCoV 的 进化 ， 并 作为 这一 过程 中 的 两个 重要 步骤 。	此外 ， 快速 突变 和 基因 重组 也 是   HCoV   进化 的 驱动 因素 ， 也 是 此 过程 的 两个 重要 步骤 。
690	690	690	690	en	zh	 For example, the acquisition or loss of novel protein-coding genes has the potential to drastically modify viral phenotypes. 	例如，新蛋白质编码基因的获得或丢失可能会彻底改变病毒的表型。	PubMed_8:728	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	例如，新型蛋白质编码基因的获得或丢失有可能彻底改变病毒表型。	例如 ， 新型 蛋白质 编码 基因 的 获得 或 丢失 有 可能 彻底改变 病毒 表型 。	例如 ， 新 蛋白质 编码 基因 的 获得 或 丢失 可能 会 彻底改变 病毒 的 表型 。
691	691	691	691	en	zh	 Among SARS-CoV accessory proteins, ORF8 has been thought to be important in adaptation to humans, as SARS-CoV-related bat viruses were isolated but found to encode divergent ORF8 proteins. 	在 SARS-CoV 辅助蛋白中，由于分离出了 SARS-CoV 相关的蝙蝠病毒，但发现它们可以编码不同的 ORF8 蛋白，因此认为 ORF8 对适应人类很重要。	PubMed_8:729	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	在SARS-CoV辅助蛋白中，ORF8被认为在适应人类方面很重要，因为SARS-CoV相关的蝙蝠病毒被分离出来，但发现编码不同的ORF8蛋白。	在 SARS - CoV 辅助蛋白 中 ， ORF8 被 认为 在 适应 人类 方面 很 重要 ， 因为 SARS - CoV 相关 的 蝙蝠 病毒 被 分离出来 ， 但 发现 编码 不同 的 ORF8 蛋白 。	在   SARS - CoV   辅助蛋白 中 ， 由于 分离 出 了   SARS - CoV   相关 的 蝙蝠 病毒 ， 但 发现 它们 可以 编码 不同 的   ORF8   蛋白 ， 因此 认为   ORF8   对 适应 人类 很 重要 。
692	692	692	692	en	zh	 A 29-nucleotide deletion characteristic of SARS-CoVs has been found in strains isolated at the beginning of the human epidemic. 	在人类流行病开始时，于分离的病毒株中发现了 SARS-CoV 的 29 个核苷酸缺失特征。	PubMed_8:730	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	在人类流行开始时分离的菌株中发现了SARS-CoV的29核苷酸缺失特征。	在 人类 流行 开始 时 分离 的 菌株 中 发现 了 SARS - CoV 的 29 核苷酸 缺失 特征 。	在 人类 流行病 开始 时 ， 于 分离 的 病毒 株 中 发现 了   SARS - CoV   的   29   个 核苷酸 缺失 特征 。
693	693	693	693	en	zh	 This deletion splits ORF8 into ORF8a and ORF8b and is thought to be an adaptive mutation that promotes the switch of hosts. 	这种缺失将 ORF8 分为 ORF8a 和 ORF8b，并被认为是促进宿主转换的适应性突变。	PubMed_8:731	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	这种缺失将ORF8分裂为ORF8a和ORF8b，被认为是促进宿主切换的适应性突变。	这种 缺失 将 ORF8 分裂 为 ORF8a 和 ORF8b ， 被 认为 是 促进 宿主 切换 的 适应性 突变 。	这种 缺失 将   ORF8   分为   ORF8a   和   ORF8b ， 并 被 认为 是 促进 宿主 转换 的 适应性 突变 。
694	694	694	694	en	zh	 Besides, SARS-CoV has a possible recombination history with lineages of alpha- and gamma-CoVs, where a large number of smaller recombinant regions were identified in the RNA-dependent RNA polymerase. 	此外，SARS-CoV 可能与 α- 和 γ-CoV 谱系发生过重组，其中在 RNA 依赖性 RNA 聚合酶中发现了大量较小的重组区域。	PubMed_8:732	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	此外，SARS-CoV可能与α-和γ-CoV谱系具有重组历史，其中在RNA依赖性RNA聚合酶中鉴定出大量较小的重组区域。	此外 ， SARS - CoV 可能 与 α - 和 γ - CoV 谱系 具有 重组 历史 ， 其中 在 RNA 依赖性 RNA 聚合酶 中 鉴定 出 大量 较 小 的 重组 区域 。	此外 ， SARS - CoV   可能 与   α -   和   γ - CoV   谱系 发生 过 重组 ， 其中 在   RNA   依赖性   RNA   聚合酶 中 发现 了 大量 较 小 的 重组 区域 。
695	695	695	695	en	zh	 Recombination locations were also identified in the nsp9, most of nsp10, and parts of nsp14. 	在 nsp9、大部分 nsp10 和部分 nsp14 中也发现了重组位点。	PubMed_8:733	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	在nsp9，大部分nsp10和nsp14的部分中也确定了重组位置。	在 nsp9 ， 大部分 nsp10 和 nsp14 的 部分 中 也 确定 了 重组 位置 。	在   nsp9 、 大部分   nsp10   和 部分   nsp14   中 也 发现 了 重组 位点 。
696	696	696	696	en	zh	 Likewise, it has been shown that the epidemic MERS-CoV experienced recombination events between different lineages, which occurred in dromedary camels in Saudi Arabia. 	同样，已有研究表明，MERS-CoV 的流行经历了不同谱系间的重组事件，这发生在沙特阿拉伯的单峰驼中。	PubMed_8:734	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	同样，已经表明，流行中东呼吸综合征冠状病毒经历了不同谱系之间的重组事件，这发生在沙特阿拉伯的单峰骆驼身上。	同样 ， 已经 表明 ， 流行 中东 呼吸 综合征 冠状病毒 经历 了 不同 谱系 之间 的 重组 事件 ， 这 发生 在 沙特阿拉伯 的 单峰骆驼 身上 。	同样 ， 已有 研究 表明 ， MERS - CoV   的 流行 经历 了 不同 谱系 间 的 重组 事件 ， 这 发生 在 沙特阿拉伯 的 单峰驼 中 。
697	697	697	697	en	zh	 Besides SARS-CoV and MERS-CoV, recombination events have also been observed in other HCoVs, in which the HCoVs recombine with other animal CoVs in their non-structural genes. 	除 SARS-CoV 和 MERS-CoV 外，在其他 HCoV 中也观察到重组事件，其中 HCoV 与其他动物冠状病毒在其非结构基因中重组。	PubMed_8:735	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	除了SARS-CoV和MERS-CoV之外，在其他HCoV中也观察到重组事件，其中HCoV在其非结构基因中与其他动物CoV重新结合。	除了 SARS - CoV 和 MERS - CoV 之外 ， 在 其他 HCoV 中 也 观察 到 重组 事件 ， 其中 HCoV 在 其非 结构 基因 中 与 其他 动物 CoV 重新 结合 。	除   SARS - CoV   和   MERS - CoV   外 ， 在 其他   HCoV   中 也 观察 到 重组 事件 ， 其中   HCoV   与 其他 动物 冠状病毒 在 其非 结构 基因 中 重组 。
698	698	698	698	en	zh	 It should also be cautioned that artificial selection can contribute to unintended changes in viral genomes, most likely resulting from relieving viruses from selection pressures exerted, such as by the host immune system. 	还应注意的是，人工选择可能会导致病毒基因组发生意外变化，这很可能是由于减轻了病毒面对的宿主免疫系统等施加的选择压力。	PubMed_8:736	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	还应该注意的是，人工选择可能导致病毒基因组的意外变化，这很可能是由于病毒免受宿主免疫系统等选择压力的影响。	还 应该 注意 的 是 ， 人工 选择 可能 导致 病毒 基因组 的 意外 变化 ， 这 很 可能 是 由于 病毒 免受 宿主 免疫系统 等 选择 压力 的 影响 。	还应 注意 的 是 ， 人工 选择 可能 会 导致 病毒 基因组 发生意外 变化 ， 这 很 可能 是 由于 减轻 了 病毒 面对 的 宿主 免疫系统 等 施加 的 选择 压力 。
699	699	699	699	en	zh	 An example of these effects is the loss of a full-length ORF4 in the HCoV-229E prototype strain, owing to a two-nucleotide deletion. 	这些作用的一个例子是在 HCoV-229E 原型病毒株中，双核苷酸的缺失导致了全长 ORF4的缺失。	PubMed_8:737	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	这些效应的一个例子是由于双核苷酸缺失而导致HCoV-229E原型菌株中全长ORF4的丢失。	这些 效应 的 一个 例子 是 由于 双 核苷酸 缺失 而 导致 HCoV - 229E 原型 菌株 中 全长 ORF4 的 丢失 。	这些 作用 的 一个 例子 是 在   HCoV - 229E   原型 病毒 株 中 ， 双 核苷酸 的 缺失 导致 了 全长   ORF4 的 缺失 。
700	700	700	700	en	zh	 While intact ORF4 could be observed in bat and camel viruses related to HCoV-229E, the alpaca alpha-CoV displays a single nucleotide insertion, resulting in a frameshift. 	尽管在与 HCoV-229E 相关的蝙蝠和骆驼病毒中可以观察到完整的 ORF4，但羊驼 α-CoV 显示单个核苷酸插入，引起了移码突变。	PubMed_8:738	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	虽然在与HCoV-229E相关的蝙蝠和骆驼病毒中可以观察到完整的ORF4，但羊驼α-CoV显示单个核苷酸插入，导致移码。	虽然 在 与 HCoV - 229E 相关 的 蝙蝠 和 骆驼 病毒 中 可以 观察 到 完整 的 ORF4 ， 但 羊 驼 α - CoV 显示 单个 核苷酸 插入 ， 导致 移码 。	尽管 在 与   HCoV - 229E   相关 的 蝙蝠 和 骆驼 病毒 中 可以 观察 到 完整 的   ORF4 ， 但 羊 驼   α - CoV   显示 单个 核苷酸 插入 ， 引起 了 移码 突变 。
701	701	701	701	en	zh	 Last but not least, the evolution of novel HCoVs is also driven by the selection pressure in their reservoir hosts. 	最后但同样重要的是，新型 HCoV 的进化还受到贮存宿主选择压力的驱动。	PubMed_8:739	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	最后但并非最不重要的一点是，新型HCoV的进化也受到其储层宿主的选择压力的驱动。	最后 但 并非 最 不 重要 的 一点 是 ， 新型 HCoV 的 进化 也 受到 其 储层 宿主 的 选择 压力 的 驱动 。	最后 但 同样 重要 的 是 ， 新型   HCoV   的 进化 还 受到 贮存 宿主 选择 压力 的 驱动 。
702	702	702	702	en	zh	 Asymptomatic or only mild symptoms were detected when bats were infected with CoVs, indicating the mutual adaptation between CoVs and bats. 	在蝙蝠感染冠状病毒后，检测到无症状或仅有轻微症状，表明冠状病毒和蝙蝠之间相互适应。	PubMed_8:740	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	当蝙蝠感染CoV时，检测到无症状或仅轻微症状，表明CoV和蝙蝠之间相互适应。	当 蝙蝠 感染 CoV 时 ， 检测 到 无症状 或仅 轻微 症状 ， 表明 CoV 和 蝙蝠 之间 相互 适应 。	在 蝙蝠 感染 冠状病毒 后 ， 检测 到 无症状 或仅 有 轻微 症状 ， 表明 冠状病毒 和 蝙蝠 之间 相互 适应 。
703	703	703	703	en	zh	 It appeared that bats are well adapted to CoVs anatomically and physiologically. 	从解剖学和生理学的角度来看，蝙蝠似乎很好地适应了冠状病毒。	PubMed_8:741	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	蝙蝠似乎在解剖学和生理学上很好地适应了CoV。	蝙蝠 似乎 在 解剖学 和 生理学 上 很 好 地 适应 了 CoV 。	从 解剖学 和 生理学 的 角度 来看 ， 蝙蝠 似乎 很 好 地 适应 了 冠状病毒 。
704	704	704	704	en	zh	 For example, defects in the activation of pro-inflammatory response in bats efficiently reduce the pathology triggered by CoVs. 	例如，蝙蝠促炎反应激活的缺陷有效地减少了冠状病毒引发的病理变化。	PubMed_8:742	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	例如，蝙蝠促炎反应激活的缺陷有效地减少了CoV引发的病理。	例如 ， 蝙蝠 促炎 反应 激活 的 缺陷 有效 地 减少 了 CoV 引发 的 病理 。	例如 ， 蝙蝠 促炎 反应 激活 的 缺陷 有效 地 减少 了 冠状病毒 引发 的 病理变化 。
705	705	705	705	en	zh	 Besides, the natural killer cell activity in bats is suppressed due to upregulation of inhibitory natural killer cell receptor NKG2/CD94 and low expression level of major histocompatibility complex class I molecules. 	此外，由于抑制性自然杀伤细胞受体 NKG2/CD94 的正调控，而且主要组织相容性复合体 I 类分子表达水平较低，因此蝙蝠的自然杀伤细胞活动受到抑制。	PubMed_8:743	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	此外，由于抑制性自然杀伤细胞受体NKG2/CD94的上调和主要组织相容性复合物I类分子的低表达水平，蝙蝠的自然杀伤细胞活性受到抑制。	此外 ， 由于 抑制性 自然 杀伤 细胞 受体 NKG2 / CD94 的 上调 和 主要 组织 相容性 复合物 I 类 分子 的 低 表达 水平 ， 蝙蝠 的 自然 杀伤 细胞 活性 受到 抑制 。	此外 ， 由于 抑制性 自然 杀伤 细胞 受体   NKG2 / CD94   的 正 调控 ， 而且 主要 组织 相容性 复合体   I   类 分子 表达 水平 较 低 ， 因此 蝙蝠 的 自然 杀伤 细胞 活动 受到 抑制 。
706	706	706	706	en	zh	 Moreover, the high level of reactive oxygen species (ROS) generated from high metabolic activity of bats could both suppress CoV replication and affects proofreading by exoribonuclease, thus providing the selection pressure for the generation of virus strains highly pathogenic when introduced into a new host. 	而且，蝙蝠高代谢活性产生的高水平活性氧 (ROS) 既可抑制冠状病毒复制，又可通过核糖核酸外切酶影响校对，从而为病毒株进入新宿主时产生高致病性提供选择压力。	PubMed_8:744	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	此外，蝙蝠高代谢活性产生的高水平活性氧（ROS）既能抑制CoV复制，又能影响外切核糖核酸酶的校对，从而为引入新宿主时产生高致病性病毒株提供选择压力。	此外 ， 蝙蝠 高 代谢 活性 产生 的 高水平 活性氧 （ ROS ） 既 能 抑制 CoV 复制 ， 又 能 影响 外切 核糖核酸 酶 的 校对 ， 从而 为 引入 新 宿主 时 产生 高 致病性 病毒 株 提供 选择 压力 。	而且 ， 蝙蝠 高 代谢 活性 产生 的 高水平 活性氧   ( ROS )   既 可抑制 冠状病毒 复制 ， 又 可 通过 核糖核酸 外切 酶 影响 校对 ， 从而 为 病毒 株 进入 新 宿主 时 产生 高 致病性 提供 选择 压力 。
707	707	707	707	en	zh	 More pathogenic CoV strains might also evolve by recombination, leading to the acquisition of novel proteins or protein features for host adaptation. 	更多致病性冠状病毒菌株也可能通过重组进化，导致获得新的蛋白质或蛋白质特征以适应宿主。	PubMed_8:745	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	更多的致病性CoV菌株也可能通过重组进化，导致获得新的蛋白质或蛋白质特征以进行宿主适应。	更 多 的 致病性 CoV 菌株 也 可能 通过 重组 进化 ， 导致 获得 新 的 蛋白质 或 蛋白质 特征 以 进行 宿主 适应 。	更 多 致病性 冠状病毒 菌株 也 可能 通过 重组 进化 ， 导致 获得 新 的 蛋白质 或 蛋白质 特征 以 适应 宿主 。
708	708	708	708	en	zh	 Thus, it is not by chance that three novel HCoVs have emerged in the past two decades. 	因此，在过去二十年中出现了三种新型 HCoV 并非偶然。	PubMed_8:746	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	因此，在过去二十年中出现三种新型HCoV并非偶然。	因此 ， 在 过去 二十年 中 出现 三种 新型 HCoV 并非 偶然 。	因此 ， 在 过去 二十年 中 出现 了 三种 新型   HCoV   并非 偶然 。
709	709	709	709	en	zh	 CoVs are non-pathogenic or cause mild symptoms in their reservoir hosts such as bats and camels. 	冠状病毒在蝙蝠和骆驼等贮存宿主中不致病或引起轻微症状。	PubMed_8:747	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	CoV是非致病性的，或在其宿主（如蝙蝠和骆驼）中引起轻微症状。	CoV 是非 致病性 的 ， 或 在 其 宿主 （ 如 蝙蝠 和 骆驼 ） 中 引起 轻微 症状 。	冠状病毒 在 蝙蝠 和 骆驼 等 贮存 宿主 中 不 致病 或 引起 轻微 症状 。
710	710	710	710	en	zh	 They replicate robustly without eliciting a strong host immune response. 	它们进行大量的复制，且不会引起强烈的宿主免疫反应。	PubMed_8:748	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	它们稳健地复制而不会引起强烈的宿主免疫反应。	它们 稳健 地 复制 而 不会 引起 强烈 的 宿主 免疫 反应 。	它们 进行 大量 的 复制 ， 且 不会 引起 强烈 的 宿主 免疫 反应 。
711	711	711	711	en	zh	 Herein lie the secrets of why asymptomatic carriers are seen and what causes the severe cases in human infection. 	这就是为什么会出现无症状携带者以及导致人类严重感染病例的原因。	PubMed_8:749	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	这就是为什么看到无症状携带者以及导致人类感染严重病例的秘密。	这 就是 为什么 看到 无症状 携带者 以及 导致 人类 感染 严重 病例 的 秘密 。	这 就是 为什么 会 出现 无症状 携带者 以及 导致 人类 严重 感染 病例 的 原因 。
712	712	712	712	en	zh	 The severe symptoms are mainly due to the hyperactivation of immune response and the cytokine storm wherein the stronger the immune response, the more severe the lung damage. 	出现严重症状主要是由于免疫反应的过度激活和细胞因子风暴，因此免疫反应越强，肺部损伤就会越严重。	PubMed_8:750	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098031/	CC BY 4.0	TOFILL	严重的症状主要是由于免疫反应的过度激活和细胞因子风暴，其中免疫反应越强，肺损伤越严重。	严重 的 症状 主要 是 由于 免疫 反应 的 过度 激活 和 细胞因子 风暴 ， 其中 免疫 反应 越强 ， 肺 损伤 越 严重 。	出现 严重 症状 主要 是 由于 免疫 反应 的 过度 激活 和 细胞因子 风暴 ， 因此 免疫 反应 越强 ， 肺部 损伤 就 会 越 严重 。
